longitude [°],latitude [°]
12.709871,61.634297
12.709834,61.634289
12.709792,61.634287
12.709745,61.634290
12.709689,61.634296
12.709649,61.634298
12.709601,61.634300
12.709552,61.634296
12.709507,61.634292
12.709461,61.634291
12.709420,61.634287
12.709371,61.634289
12.709323,61.634278
12.709272,61.634263
12.709231,61.634248
12.709191,61.634253
12.709136,61.634245
12.709101,61.634236
12.709053,61.634229
12.709013,61.634228
12.708969,61.634221
12.708938,61.634210
12.708899,61.634202
12.708855,61.634189
12.708821,61.634175
12.708802,61.634157
12.708761,61.634148
12.708728,61.634136
12.708680,61.634127
12.708631,61.634121
12.708587,61.634105
12.708547,61.634088
12.708509,61.634074
12.708489,61.634059
12.708464,61.634044
12.708424,61.634029
12.708385,61.634030
12.708342,61.634027
12.708289,61.634035
12.708232,61.634041
12.708197,61.634050
12.708143,61.634064
12.708106,61.634083
12.708075,61.634097
12.708055,61.634112
12.708030,61.634131
12.708002,61.634143
12.707970,61.634171
12.707929,61.634178
12.707884,61.634179
12.707834,61.634184
12.707787,61.634207
12.707810,61.634221
12.707824,61.634202
12.707775,61.634188
12.707736,61.634188
12.707699,61.634191
12.707650,61.634205
12.707613,61.634225
12.707564,61.634221
12.707516,61.634216
12.707471,61.634212
12.707433,61.634210
12.707383,61.634206
12.707344,61.634203
12.707292,61.634209
12.707238,61.634209
12.707198,61.634215
12.707146,61.634226
12.707108,61.634215
12.707059,61.634207
12.707014,61.634194
12.706959,61.634190
12.706912,61.634189
12.706854,61.634199
12.706818,61.634209
12.706777,61.634228
12.706739,61.634242
12.706683,61.634253
12.706651,61.634266
12.706603,61.634285
12.706567,61.634295
12.706525,61.634309
12.706477,61.634315
12.706413,61.634317
12.706350,61.634319
12.706311,61.634324
12.706257,61.634327
12.706211,61.634326
12.706174,61.634330
12.706129,61.634334
12.706084,61.634342
12.706047,61.634352
12.706007,61.634350
12.705983,61.634375
12.705943,61.634389
12.705887,61.634384
12.705846,61.634394
12.705805,61.634400
12.705747,61.634416
12.705698,61.634417
12.705657,61.634418
12.705608,61.634428
12.705557,61.634420
12.705526,61.634436
12.705484,61.634428
12.705461,61.634444
12.705403,61.634460
12.705352,61.634466
12.705309,61.634467
